,Artist,Song Name,GPE,Line,Line Before,Line After
126,Nicki Minaj,Fuckin’ Problems,Texas,"Ridin\'-ridin\' through Texas (Texas), feed him for his breakfast (Uh)",Pretty gang always keep them niggas on geek,"Everytime I whip it, I be talkin\' so reckless"
127,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Ego, ego, ego, ego, ego, ego, ego, ego)","Smoke it all off, talkin\' bout that high-grade"
128,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Ego, ego, ego, ego, ego, ego, ego, ego)","Smoke it all off, talkin\' bout that high-grade"
129,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Ego, ego, ego, ego, ego, ego, ego, ego)","Smoke it all off, talkin\' bout that high-grade"
130,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Migraine, migraine, migraine, migraine, migraine, migraine, migraine, migraine)",
131,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Migraine, migraine, migraine, migraine, migraine, migraine, migraine, migraine)",
132,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Migraine, migraine, migraine, migraine, migraine, migraine, migraine, migraine)",
133,Nicki Minaj,Fuckin’ Problems,the North Pole,Keep gettin\' gifts from Santa Claus at the North Pole,I have both and an empire also,"Today I\'m icy, but I\'m prayin\' for some more snow"
134,Nicki Minaj,Fuckin’ Problems,l\'chaim,"Shoutout to my Jews, l\'chaim, Rick Rubin","Damn, a bitch snoozin\'","Big fat titties, yes, they be protrudin\'"
135,Nicki Minaj,Fuckin’ Problems,New Orleans,"And born in New Orleans, get killed for Jordans","Smallest, regardless, largest in charge","Skateboard, I\'m gnarly, Drake, Tunechi, and Barbie"
136,Nicki Minaj,Fuckin’ Problems,Burberry,Styled on \'em in this Burberry trench,"Here go some haterade, get ya thirst quenched","These birds copy every word, every inch"
137,Nicki Minaj,Fuckin’ Problems,Roc,Show off my diamonds like I\'m signed by the Roc (By the rock),"Oh, now she tryna be friends like I forgot",Ain\'t pushin\' out his babies \'til he buy the rock
138,Nicki Minaj,Fuckin’ Problems,King Kong,"Bitch, it\'s King Kong, yes, it\'s King Kong",Now I\'m about to turn around and beat my chest,"Bitch, it\'s King Kong, this is King Kong"
139,Nicki Minaj,Fuckin’ Problems,King Kong,"Bitch, it\'s King Kong, yes, it\'s King Kong",Now I\'m about to turn around and beat my chest,"Bitch, it\'s King Kong, this is King Kong"
140,Nicki Minaj,Fuckin’ Problems,King Kong,"Bitch, it\'s King Kong, this is King Kong","Bitch, it\'s King Kong, yes, it\'s King Kong","Chinese ink on, Siamese links on"
141,Nicki Minaj,Fuckin’ Problems,King Kong,"Bitch, it\'s King Kong, this is King Kong","Bitch, it\'s King Kong, yes, it\'s King Kong","Chinese ink on, Siamese links on"
